,Unnamed: 0.1,Unnamed: 0,Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,KhoiA00,KhoiA01,KhoiB00,KhoiC00,KhoiD00,KhoiD07,ALL,ALLtn,ALLxh
0,0,0,64000001,6.8,8.0,7.0,6.5,7.0,6.25,6.58,,,,,20.3,20.3,20.05,,21.8,20.8,,41.55,
1,1,1,64000002,2.4,5.0,,,,,,5.25,4.5,,,,,,14.75,,,,,
2,2,2,64000003,7.4,7.75,6.4,,,,,7.0,8.25,9.5,8.25,,,,23.0,21.55,,,,46.3
3,3,3,64000004,5.6,6.5,5.0,,,,,5.25,7.5,8.5,7.08,,,,19.25,17.1,,,,38.35
4,4,4,64000005,5.2,6.25,4.0,5.75,5.5,6.0,5.75,,,,,16.45,14.95,16.7,,15.45,14.7,,32.7,
5,5,5,64000006,4.6,5.25,3.4,,,,,5.0,5.25,7.25,5.83,,,,15.5,13.25,,,,30.75
6,6,6,64000007,6.6,5.75,2.8,4.75,5.5,4.25,4.83,,,,,16.85,14.15,16.35,,15.15,14.9,,29.65,
7,7,7,64000008,2.8,7.0,2.6,,,,,5.25,6.75,8.25,6.75,,,,19.0,12.4,,,,32.65
8,8,8,64000009,4.2,4.5,,,,,,6.75,5.0,,,,,,16.25,,,,,
9,9,9,64000010,6.0,7.0,6.8,,,,,5.75,7.25,8.75,7.25,,,,20.0,19.8,,,,41.55
10,10,10,64000011,4.2,6.0,4.2,,,,,5.25,4.0,6.75,5.33,,,,15.25,14.4,,,,30.4
11,11,11,64000012,7.6,7.75,3.6,,,,,7.0,5.25,9.0,7.08,,,,20.0,18.95,,,,40.2
12,12,12,64000013,4.4,5.5,,,,,,6.5,5.75,,,,,,17.75,,,,,
13,13,13,64000014,7.8,7.75,6.6,7.5,8.25,6.5,7.42,,,,,23.55,21.9,22.55,,22.15,22.65,,44.4,
14,14,14,64000015,4.0,6.5,3.0,,,,,5.0,4.25,7.25,5.5,,,,15.75,13.5,,,,30.0
15,15,15,64000016,7.8,6.75,3.6,,,,,7.0,5.5,8.75,7.08,,,,19.25,18.15,,,,39.400000000000006
16,16,16,64000017,8.6,,,,8.75,8.5,,,,,,,,25.85,,,,,,
17,17,17,64000018,6.4,5.0,5.0,6.25,5.25,5.25,5.58,,,,,17.9,17.65,16.9,,16.4,16.65,,33.15,
18,18,18,64000019,3.4,6.5,3.4,,,,,4.5,5.0,7.25,5.58,,,,16.0,13.3,,,,30.05
19,19,19,64000020,7.2,,,6.75,7.0,,,,,,,20.95,,,,,,,,
20,20,20,64000021,4.6,6.0,4.0,,,,,4.75,5.75,7.0,5.83,,,,16.5,14.6,,,,32.1
21,21,21,64000022,6.4,8.0,5.0,,,,,8.0,7.75,9.25,8.33,,,,23.75,19.4,,,,44.4
22,22,22,64000023,3.2,3.25,,,,,,5.5,5.25,,,,,,14.0,,,,,
23,23,23,64000024,5.8,6.5,4.4,,,,,5.0,5.0,8.25,6.08,,,,16.5,16.7,,,,34.95
24,24,24,64000025,8.2,8.25,6.6,6.5,7.5,8.25,7.42,,,,,22.2,21.3,23.95,,23.05,22.3,,45.3,
