,Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,KhoiA00,KhoiA01,KhoiB00,KhoiC00,KhoiD00,KhoiD07
0,53000001,4.2,9.0,5.4,,,,,6.5,6.5,8.5,7.17,,,,22.0,18.6,
1,53000002,6.8,7.75,3.8,,,,,7.0,6.75,9.25,7.67,,,,21.5,18.35,
2,53000003,9.0,8.75,6.4,8.5,8.25,6.0,7.58,,,,,25.75,23.9,23.25,,24.15,23.65
3,53000004,7.0,7.0,6.0,7.0,7.75,7.25,7.33,,,,,21.75,20.0,22.0,,20.0,20.75
4,53000005,6.6,7.25,4.6,6.25,7.25,5.5,6.33,,,,,20.1,17.45,19.35,,18.45,18.45
5,53000006,7.6,6.75,4.6,6.0,7.25,6.5,6.58,,,,,20.85,18.2,21.35,,18.95,19.45
6,53000007,5.4,7.0,5.4,5.25,5.5,5.75,5.5,,,,,16.15,16.05,16.65,,17.8,16.3
7,53000008,5.6,8.75,7.6,5.75,7.75,8.0,7.17,,,,,19.1,18.95,21.35,,21.950000000000003,20.95
8,53000009,7.8,8.5,6.8,5.25,7.25,7.25,6.58,,,,,20.3,19.85,22.3,,23.1,21.85
9,53000010,5.4,8.0,5.4,,,,,5.5,4.5,8.75,6.25,,,,18.0,18.8,
10,53000011,7.0,6.25,4.4,6.25,8.0,8.0,7.42,,,,,21.25,17.65,23.0,,17.65,19.4
11,53000012,3.2,6.75,3.8,,,,,4.5,3.75,6.75,5.0,,,,15.0,13.75,
12,53000013,8.0,7.25,5.2,7.0,6.25,6.75,6.67,,,,,21.25,20.2,21.0,,20.45,19.45
13,53000014,6.6,8.0,6.8,,,,,4.75,4.0,8.5,5.75,,,,16.75,21.4,
14,53000015,6.8,8.5,8.0,,,,,6.5,6.25,9.0,7.25,,,,21.25,23.3,
15,53000016,5.8,6.75,3.8,,,,,6.0,5.25,8.75,6.67,,,,18.0,16.35,
16,53000017,6.6,7.5,4.4,,,,,5.75,6.5,8.75,7.0,,,,19.75,18.5,
17,53000018,8.4,7.5,4.2,3.5,6.25,8.25,6.0,,,,,18.15,16.1,22.9,,20.1,18.85
18,53000019,6.6,7.5,9.2,7.0,6.0,6.25,6.42,,,,,19.6,22.799999999999997,18.85,,23.299999999999997,21.799999999999997
19,53000020,6.4,7.25,4.2,3.5,5.75,6.25,5.17,,,,,15.65,14.100000000000001,18.4,,17.85,16.35
20,53000021,5.8,7.25,5.0,4.5,7.5,6.0,6.0,,,,,17.8,15.3,19.3,,18.05,18.3
21,53000022,7.4,9.25,8.6,,,,,7.25,9.5,10.0,8.92,,,,26.0,25.25,
22,53000023,4.2,6.42,3.2,,,,,7.0,4.25,7.75,6.33,,,,17.67,13.82,
23,53000024,7.2,9.75,7.2,,,,,9.0,9.75,10.0,9.58,,,,28.5,24.15,
24,53000025,7.0,8.25,7.0,7.25,7.25,6.25,6.92,,,,,21.5,21.25,20.5,,22.25,21.25
25,53000026,7.8,7.25,6.8,,,,,6.5,7.0,8.0,7.17,,,,20.75,21.85,
26,53000027,6.6,6.75,5.4,5.0,7.25,6.5,6.25,,,,,18.85,17.0,20.35,,18.75,19.25
27,53000028,7.6,6.0,4.4,5.75,7.75,5.25,6.25,,,,,21.1,17.75,20.6,,18.0,19.75
28,53000029,7.4,6.75,6.2,7.5,8.0,6.0,7.17,,,,,22.9,21.1,21.4,,20.35,21.6
29,53000030,6.8,5.0,6.0,5.25,7.0,6.0,6.08,,,,,19.05,18.05,19.8,,17.8,19.8
30,53000031,5.2,9.25,6.0,,,,,7.5,7.25,9.25,8.0,,,,24.0,20.45,
31,53000032,6.0,7.5,5.0,,,,,4.75,4.5,7.5,5.58,,,,16.75,18.5,
32,53000033,3.2,7.0,5.2,,,,,5.25,7.0,8.5,6.92,,,,19.25,15.399999999999999,
33,53000034,8.0,9.0,8.8,6.5,6.25,7.25,6.67,,,,,20.75,23.3,21.5,,25.8,23.05
34,53000035,7.4,8.0,5.6,6.75,6.0,7.5,6.75,,,,,20.15,19.75,20.9,,21.0,19.0
35,53000036,7.4,8.5,6.4,,,,,7.0,7.5,9.25,7.92,,,,23.0,22.3,
36,53000037,7.4,7.75,5.2,,,,,5.0,5.75,7.75,6.17,,,,18.5,20.35,
37,53000038,5.8,8.75,7.4,,,,,6.5,6.5,9.0,7.33,,,,21.75,21.95,
38,53000039,7.6,8.75,7.2,,,,,6.25,5.75,9.25,7.08,,,,20.75,23.549999999999997,
39,53000040,7.4,7.25,7.6,6.25,8.5,5.75,6.83,,,,,22.15,21.25,21.65,,22.25,23.5
40,53000041,4.2,8.0,3.2,,,,,5.0,4.25,7.5,5.58,,,,17.25,15.399999999999999,
41,53000042,8.2,9.0,8.6,7.25,7.0,8.0,7.42,,,,,22.45,24.049999999999997,23.2,,25.8,23.799999999999997
42,53000043,9.2,7.75,8.4,5.0,8.75,6.5,6.75,,,,,22.95,22.6,24.45,,25.349999999999998,26.349999999999998
43,53000044,7.2,9.25,5.6,7.5,7.75,6.0,7.08,,,,,22.45,20.3,20.95,,22.05,20.55
44,53000045,5.2,8.0,5.4,5.75,5.75,5.25,5.58,,,,,16.7,16.35,16.2,,18.6,16.35
45,53000046,6.4,7.5,5.4,,,,,7.0,7.0,9.0,7.67,,,,21.5,19.3,
46,53000047,4.6,6.75,3.6,,,,,4.25,5.25,5.75,5.08,,,,16.25,14.95,
47,53000048,9.0,7.25,8.2,8.5,8.0,7.5,8.0,,,,,25.5,25.7,24.5,,24.45,25.2
48,53000049,5.4,7.5,3.2,,,,,5.75,4.75,6.75,5.75,,,,18.0,16.1,
49,53000050,7.0,7.5,6.8,,,,,7.0,4.5,7.25,6.25,,,,19.0,21.3,
50,53000051,6.4,7.75,5.0,5.75,8.0,7.0,6.92,,,,,20.15,17.15,21.4,,19.15,19.4
51,53000052,6.2,7.25,2.6,3.25,6.0,5.75,5.0,,,,,15.45,12.05,17.95,,16.05,14.8
52,53000053,8.4,6.0,4.0,6.75,7.5,6.5,6.92,,,,,22.65,19.15,22.4,,18.4,19.9
53,53000054,8.2,9.25,8.0,,,,,7.0,7.5,9.5,8.0,,,,23.75,25.45,
54,53000055,7.6,8.75,6.6,,,,,5.75,6.75,9.5,7.33,,,,21.25,22.95,
55,53000056,8.0,7.25,6.6,8.0,8.0,7.0,7.67,,,,,24.0,22.6,23.0,,21.85,22.6
56,53000057,5.8,8.0,2.8,,,,,5.5,5.0,8.75,6.42,,,,18.5,16.6,
57,53000058,8.2,7.0,8.6,7.5,7.25,6.5,7.08,,,,,22.95,24.3,21.95,,23.799999999999997,24.049999999999997
58,53000059,6.8,7.0,5.0,6.5,6.25,7.25,6.67,,,,,19.55,18.3,20.3,,18.8,18.05
59,53000060,7.4,9.0,5.2,,,,,6.25,9.25,9.5,8.33,,,,24.5,21.6,
60,53000061,8.2,8.75,6.4,,,,,6.0,7.0,9.0,7.33,,,,21.75,23.35,
61,53000062,6.0,8.25,5.4,6.5,6.5,6.75,6.58,,,,,19.0,17.9,19.25,,19.65,17.9
62,53000063,8.0,9.0,8.6,,,,,7.25,7.5,9.75,8.17,,,,23.75,25.6,
63,53000064,4.4,6.75,3.0,,,,,5.5,7.5,8.25,7.08,,,,19.75,14.15,
64,53000065,5.6,8.5,7.6,,,,,5.5,6.5,8.0,6.67,,,,20.5,21.700000000000003,
65,53000066,8.0,8.0,7.4,4.75,6.75,5.75,5.75,,,,,19.5,20.15,20.5,,23.4,22.15
66,53000067,8.4,8.75,7.8,7.0,7.5,7.5,7.33,,,,,22.9,23.200000000000003,23.4,,24.950000000000003,23.700000000000003
67,53000068,6.4,7.75,4.8,4.5,4.5,6.75,5.25,,,,,15.4,15.700000000000001,17.65,,18.950000000000003,15.700000000000001
68,53000069,8.0,6.0,5.0,8.0,8.25,6.5,7.58,,,,,24.25,21.0,22.75,,19.0,21.25
69,53000070,3.6,8.75,3.4,,,,,7.25,7.25,8.75,7.75,,,,23.25,15.75,
70,53000071,6.4,8.0,4.2,,,,,6.0,5.0,6.5,5.83,,,,19.0,18.6,
71,53000072,6.4,6.5,4.6,5.25,7.0,7.0,6.42,,,,,18.65,16.25,20.4,,17.5,18.0
72,53000073,7.2,5.75,4.0,,,,,6.75,3.75,8.25,6.25,,,,16.25,16.95,
73,53000074,6.2,8.5,5.6,,,,,6.75,7.25,9.0,7.67,,,,22.5,20.3,
74,53000075,7.2,8.0,7.6,,,,,6.25,7.25,9.5,7.67,,,,21.5,22.8,
75,53000076,7.2,7.0,4.6,,,,,7.25,4.25,8.75,6.75,,,,18.5,18.8,
76,53000077,7.2,7.0,3.0,,,,,5.0,3.75,6.0,4.92,,,,15.75,17.2,
77,53000078,6.0,5.75,3.4,5.0,5.0,6.25,5.42,,,,,16.0,14.4,17.25,,15.15,14.4
78,53000079,7.2,9.25,9.0,5.75,7.0,7.75,6.83,,,,,19.95,21.95,21.95,,25.45,23.2
79,53000080,6.2,6.5,3.0,,,,,6.25,8.5,8.25,7.67,,,,21.25,15.7,
80,53000081,6.0,7.25,2.8,,,,,5.25,5.0,7.0,5.75,,,,17.5,16.05,
81,53000082,4.6,5.75,3.4,,,,,5.0,4.0,8.5,5.83,,,,14.75,13.75,
82,53000083,6.6,6.5,5.2,5.25,6.75,6.5,6.17,,,,,18.6,17.049999999999997,19.85,,18.299999999999997,18.549999999999997
83,53000084,4.2,6.25,5.0,3.75,6.75,6.5,5.67,,,,,14.7,12.95,17.45,,15.45,15.95
84,53000085,9.2,6.25,5.4,7.75,8.5,7.5,7.92,,,,,25.45,22.35,25.2,,20.85,23.1
85,53000086,7.0,7.08,6.0,7.75,6.75,8.0,7.5,,,,,21.5,20.75,21.75,,20.08,19.75
86,53000087,6.0,7.0,4.4,,,,,6.5,6.0,7.75,6.75,,,,19.5,17.4,
87,53000088,8.0,7.25,5.0,7.0,8.0,8.0,7.67,,,,,23.0,20.0,24.0,,20.25,21.0
88,53000089,8.0,3.75,6.0,8.25,8.0,6.5,7.58,,,,,24.25,22.25,22.5,,17.75,22.0
