Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH
53000001,4.20,9.00,5.40,,,,,6.50,6.50,8.50,7.17
53000002,6.80,7.75,3.80,,,,,7.00,6.75,9.25,7.67
53000003,9.00,8.75,6.40,8.50,8.25,6.00,7.58,,,,
53000004,7.00,7.00,6.00,7.00,7.75,7.25,7.33,,,,
53000005,6.60,7.25,4.60,6.25,7.25,5.50,6.33,,,,
53000006,7.60,6.75,4.60,6.00,7.25,6.50,6.58,,,,
53000007,5.40,7.00,5.40,5.25,5.50,5.75,5.50,,,,
53000008,5.60,8.75,7.60,5.75,7.75,8.00,7.17,,,,
53000009,7.80,8.50,6.80,5.25,7.25,7.25,6.58,,,,
53000010,5.40,8.00,5.40,,,,,5.50,4.50,8.75,6.25
53000011,7.00,6.25,4.40,6.25,8.00,8.00,7.42,,,,
53000012,3.20,6.75,3.80,,,,,4.50,3.75,6.75,5.00
53000013,8.00,7.25,5.20,7.00,6.25,6.75,6.67,,,,
53000014,6.60,8.00,6.80,,,,,4.75,4.00,8.50,5.75
53000015,6.80,8.50,8.00,,,,,6.50,6.25,9.00,7.25
53000016,5.80,6.75,3.80,,,,,6.00,5.25,8.75,6.67
53000017,6.60,7.50,4.40,,,,,5.75,6.50,8.75,7.00
53000018,8.40,7.50,4.20,3.50,6.25,8.25,6.00,,,,
53000019,6.60,7.50,9.20,7.00,6.00,6.25,6.42,,,,
53000020,6.40,7.25,4.20,3.50,5.75,6.25,5.17,,,,
53000021,5.80,7.25,5.00,4.50,7.50,6.00,6.00,,,,
53000022,7.40,9.25,8.60,,,,,7.25,9.50,10.00,8.92
53000023,4.20,6.42,3.20,,,,,7.00,4.25,7.75,6.33
53000024,7.20,9.75,7.20,,,,,9.00,9.75,10.00,9.58
53000025,7.00,8.25,7.00,7.25,7.25,6.25,6.92,,,,
53000026,7.80,7.25,6.80,,,,,6.50,7.00,8.00,7.17
53000027,6.60,6.75,5.40,5.00,7.25,6.50,6.25,,,,
53000028,7.60,6.00,4.40,5.75,7.75,5.25,6.25,,,,
53000029,7.40,6.75,6.20,7.50,8.00,6.00,7.17,,,,
53000030,6.80,5.00,6.00,5.25,7.00,6.00,6.08,,,,
53000031,5.20,9.25,6.00,,,,,7.50,7.25,9.25,8.00
53000032,6.00,7.50,5.00,,,,,4.75,4.50,7.50,5.58
53000033,3.20,7.00,5.20,,,,,5.25,7.00,8.50,6.92
53000034,8.00,9.00,8.80,6.50,6.25,7.25,6.67,,,,
53000035,7.40,8.00,5.60,6.75,6.00,7.50,6.75,,,,
53000036,7.40,8.50,6.40,,,,,7.00,7.50,9.25,7.92
53000037,7.40,7.75,5.20,,,,,5.00,5.75,7.75,6.17
53000038,5.80,8.75,7.40,,,,,6.50,6.50,9.00,7.33
53000039,7.60,8.75,7.20,,,,,6.25,5.75,9.25,7.08
53000040,7.40,7.25,7.60,6.25,8.50,5.75,6.83,,,,
53000041,4.20,8.00,3.20,,,,,5.00,4.25,7.50,5.58
53000042,8.20,9.00,8.60,7.25,7.00,8.00,7.42,,,,
53000043,9.20,7.75,8.40,5.00,8.75,6.50,6.75,,,,
53000044,7.20,9.25,5.60,7.50,7.75,6.00,7.08,,,,
53000045,5.20,8.00,5.40,5.75,5.75,5.25,5.58,,,,
53000046,6.40,7.50,5.40,,,,,7.00,7.00,9.00,7.67
53000047,4.60,6.75,3.60,,,,,4.25,5.25,5.75,5.08
