Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH,Fail
64000001,7.2,7.0,4.8,,,,,8.5,9.0,8.5,8.67,
64000002,5.0,7.0,3.0,,,,,6.25,5.25,7.0,6.17,
64000003,7.2,6.75,5.4,,,,,6.0,7.5,8.75,7.42,
64000004,8.2,7.25,3.0,,,,,6.75,6.25,8.25,7.08,
64000005,8.0,6.5,5.0,6.5,7.25,6.25,6.67,,,,,
64000006,7.2,6.5,3.2,,,,,5.75,6.0,8.75,6.83,
64000007,7.0,6.75,3.8,,,,,4.75,5.0,7.5,5.75,
64000008,4.6,7.0,3.8,,,,,5.75,6.0,7.75,6.5,
64000009,6.4,6.0,3.6,,,,,5.75,6.5,7.75,6.67,
64000010,5.0,6.25,2.4,,,,,5.75,7.5,9.0,7.42,
64000011,6.0,6.75,4.6,,,,,7.5,5.75,8.75,7.33,
64000012,5.2,5.5,2.8,,,,,5.75,5.5,6.75,6.0,
64000013,7.0,7.75,4.4,8.5,8.25,6.25,7.67,,,,,
64000014,5.0,6.0,2.6,,,,,5.5,6.75,7.75,6.67,
64000015,7.2,6.0,2.0,,,,,6.5,7.5,9.0,7.67,
64000016,6.2,8.5,4.4,,,,,5.5,4.75,8.5,6.25,
64000017,5.6,7.25,4.0,,,,,6.75,7.0,8.0,7.25,
64000018,7.4,8.5,5.8,8.75,6.75,7.25,7.58,,,,,
64000019,7.2,5.25,2.6,,,,,5.0,5.25,7.25,5.83,
64000020,5.8,5.75,4.2,,,,,5.25,4.5,6.75,5.5,
64000021,8.0,6.75,5.0,,,,,8.25,7.25,9.25,8.25,
64000022,5.6,7.0,2.8,,,,,5.75,5.0,8.5,6.42,
64000023,5.2,7.0,2.8,,,,,7.75,5.25,8.5,7.17,
64000024,4.8,4.0,4.0,,,,,5.0,3.25,5.75,4.67,
64000025,8.0,6.25,8.2,,,,,8.0,8.75,9.25,8.67,
64000026,8.2,6.5,4.8,,,,,6.75,6.75,8.5,7.33,
64000027,7.4,6.25,6.0,6.25,6.25,5.0,5.83,,,,,
64000028,6.4,5.0,3.2,,,,,5.5,4.5,6.75,5.58,
64000029,6.6,6.0,5.0,,,,,5.5,5.0,8.25,6.25,
64000030,7.6,5.25,4.8,,,,,5.25,4.0,8.0,5.75,
64000031,6.2,6.0,2.8,,,,,6.5,4.0,6.5,5.67,
64000032,5.2,5.25,3.6,,,,,5.75,5.0,7.25,6.0,
64000033,5.0,7.5,4.2,,,,,5.0,4.5,8.25,5.92,
64000034,3.0,7.25,3.0,,,,,6.25,5.25,9.0,6.83,
64000035,8.2,8.25,8.8,7.5,8.75,6.75,7.67,,,,,
64000036,3.2,3.75,2.8,,,,,4.0,3.0,5.5,4.17,
64000037,7.4,8.0,4.4,7.25,6.75,5.75,6.58,,,,,
64000038,3.0,4.0,3.6,,,,,3.75,4.0,7.0,4.92,
64000039,6.2,5.5,3.0,,,,,5.75,7.0,7.25,6.67,
64000040,6.6,6.0,3.6,,,,,5.5,5.5,8.5,6.5,
64000041,7.4,6.25,3.6,5.75,5.75,4.75,5.42,,,,,
64000042,7.0,6.0,4.2,,,,,6.5,8.75,7.5,7.58,
64000043,8.8,5.75,4.6,8.25,7.0,4.25,6.5,,,,,
64000044,7.6,6.0,3.6,,,,,6.25,6.75,8.75,7.25,
64000045,7.4,6.75,3.0,,,,,6.75,7.0,8.25,7.33,
