Code,Toan,NguVan,NgoaiNgu,VatLi,HoaHoc,SinhHoc,KHTN,DiaLi,LichSu,GDCD,KHXH
64000001,6.20,7.75,6.20,6.25,5.00,6.25,5.83,,,,
64000002,7.40,6.50,6.40,,,,,8.50,7.75,9.25,8.50
64000003,4.60,7.75,5.00,,,,,5.75,4.75,6.00,5.50
64000004,7.80,5.75,5.40,6.75,6.75,5.25,6.25,,,,
64000005,6.40,7.00,4.20,,,,,6.50,6.25,8.25,7.00
64000006,5.60,7.50,6.20,,,,,5.25,5.50,7.00,5.92
64000007,3.80,6.25,,,,,,7.50,6.50,,
64000008,4.00,5.00,2.80,,,,,6.00,3.25,5.25,4.83
64000009,2.80,3.75,,,,,,5.00,4.50,,
64000010,3.40,2.75,,,,,,4.75,5.25,,
64000011,6.80,8.00,7.60,,,,,9.00,8.25,9.25,8.83
64000012,6.20,7.25,4.60,,,,,6.50,6.75,7.75,7.00
64000013,7.20,8.50,8.40,7.75,8.50,7.75,8.00,,,,
64000014,8.60,,8.60,8.00,,,,,,,
64000015,,5.50,,,,,,5.75,6.50,,
64000016,6.20,7.50,4.60,,,,,7.00,6.00,7.25,6.75
64000017,4.80,5.50,,,,,,7.00,6.50,,
64000018,,7.75,,,,,,7.50,6.75,,
64000019,4.00,5.00,,,,,,7.75,7.25,,
64000020,8.20,7.00,5.60,4.50,7.75,9.00,7.08,,,,
64000021,6.00,8.25,2.40,,,,,6.75,5.75,7.75,6.75
64000022,6.80,6.75,6.80,,,,,6.75,7.50,8.75,7.67
64000023,2.80,3.25,,,,,,6.50,6.00,,
64000024,6.40,7.50,4.20,6.00,7.00,7.50,6.83,,,,
64000025,7.20,8.00,5.80,,,,,6.50,6.25,8.75,7.17
64000026,6.60,6.75,3.80,4.50,4.25,5.50,4.75,,,,
64000027,3.40,5.50,,,,,,7.50,6.75,,
64000028,2.60,5.25,,,,,,6.75,7.00,,
64000029,5.20,5.50,3.60,2.75,3.75,3.25,3.25,,,,
64000030,8.20,7.50,6.40,7.25,8.50,7.25,7.67,,,,
64000031,7.80,,,7.50,6.50,,,,,,
64000032,8.40,8.50,5.80,5.75,8.00,6.75,6.83,,,,
64000033,4.60,6.50,,,,,,6.50,6.25,,
64000034,5.40,6.50,3.40,,,,,5.50,5.75,8.00,6.42
64000035,4.80,5.50,3.00,,,,,5.50,4.25,6.50,5.42
64000036,3.80,6.00,,,,,,4.25,4.75,,
64000037,7.20,6.50,5.80,,,,,8.50,7.25,9.25,8.33
64000038,7.60,8.50,3.40,5.25,7.00,6.25,6.17,,,,
64000039,7.20,6.50,5.60,,,,,7.50,7.25,8.50,7.75
64000040,5.20,8.50,3.00,,,,,6.75,5.50,6.75,6.33
64000041,6.40,7.50,6.40,7.00,7.00,6.50,6.83,,,,
64000042,6.80,7.50,5.40,,,,,8.00,7.50,9.25,8.25
64000043,5.00,7.00,,,,,,7.00,5.75,,
64000044,7.60,7.00,4.20,5.50,4.25,4.75,4.83,,,,
64000045,7.00,8.00,5.20,,,,,6.00,6.00,8.25,6.75
64000046,2.40,5.00,,,,,,5.50,3.75,,
64000047,8.60,6.50,3.80,8.00,8.25,6.50,7.58,,,,
64000048,2.80,6.50,,,,,,5.50,4.25,,
64000049,6.80,8.50,8.20,5.50,6.00,5.50,5.67,,,,
64000050,7.00,7.75,4.20,,,,,6.00,6.25,8.00,6.75
64000051,,5.00,,,,,,7.25,8.00,,
64000052,4.80,5.00,3.40,,,,,6.75,6.50,7.25,6.83
64000053,4.60,5.00,3.00,,,,,5.50,4.75,6.00,5.42
64000054,3.20,5.50,2.60,,,,,5.50,4.50,7.75,5.92
64000055,7.00,7.00,6.00,5.25,7.25,6.00,6.17,,,,
64000056,7.60,7.75,5.60,6.00,7.00,6.75,6.58,,,,
64000057,3.20,5.75,,,,,,3.50,3.75,,
64000058,7.20,7.00,4.60,3.50,6.25,5.00,4.92,,,,
64000059,4.60,7.50,3.80,,,,,6.75,4.50,7.75,6.33
64000060,6.60,7.75,4.60,,,,,7.25,8.00,8.75,8.00
64000061,,6.00,,,,,,7.50,5.00,,
64000062,8.20,5.50,3.80,9.00,7.00,5.00,7.00,,,,
64000063,5.20,8.50,3.00,,,,,6.50,5.50,6.75,6.25
