Code,DiaLi,GDCD,HoaHoc,KHTN,KHXH,LichSu,ListGroup,NgoaiNgu,NguVan,Result,SinhHoc,Toan,VatLi
01000001,6.00,8.75,,,5.83,2.75,[],4.00,5.00,,,3.60,
01000002,7.50,8.25,,,8.08,8.50,[],7.60,6.75,,,8.40,
01000003,5.50,8.75,,,7.17,7.25,[],5.00,7.50,,,5.80,
01000004,6.50,7.50,,,7.17,7.50,[],8.60,7.50,,,7.40,
01000005,8.50,8.25,,,8.25,8.00,[],9.00,8.50,,,7.20,
01000006,7.50,9.25,,,7.92,7.00,[],9.40,8.50,,,6.80,
01000007,7.50,9.00,,,8.17,8.00,[],5.00,6.00,,,7.20,
01000008,7.00,7.00,,,6.42,5.25,[],8.00,8.00,,,8.00,
01000009,6.75,,,,,5.25,[],,5.25,,,2.60,
01000010,6.50,6.75,,,6.58,6.50,[],7.00,8.00,,,8.80,
01000011,,,8.00,4.83,,,[],7.60,7.25,,3.00,6.40,3.50
01000012,5.00,8.00,,,5.92,4.75,[],,7.50,,,6.40,
01000013,7.50,7.75,,,7.42,7.00,[],6.40,7.75,,,8.20,
01000014,8.00,,,,,8.50,[],6.40,5.50,,,5.80,
01000015,,,3.25,5.25,,,[],9.60,7.25,,4.25,8.60,8.25
01000016,,,8.00,5.67,,,[],8.40,5.75,,4.75,7.80,4.25
01000017,,,3.50,4.75,,,[],7.00,6.25,,3.75,8.60,7.00
01000018,6.50,8.25,,,7.17,6.75,[],6.60,8.25,,,6.20,
01000019,6.25,8.00,,,7.17,7.25,[],,7.50,,,6.80,
01000020,8.00,,,,,8.50,[],,6.75,,,,
01000021,6.25,8.75,,,7.33,7.00,[],,9.00,,,8.00,
01000022,6.50,9.25,,,7.83,7.75,[],7.60,8.00,,,7.80,
01000023,,,5.50,3.67,,,[],6.80,6.00,,3.00,6.80,2.50
01000024,,,8.50,7.67,,,[],9.80,6.50,,6.75,8.60,7.75
01000025,,,6.50,4.42,,,[],5.80,5.50,,3.75,7.20,3.00
01000026,,,2.25,3.92,,,[],9.80,6.00,,3.00,7.00,6.50
01000027,,,6.50,6.67,,,[],4.80,5.75,,6.25,7.60,7.25
01000028,,,8.75,6.00,,,[],8.00,7.00,,4.50,8.60,4.75
01000029,9.00,6.25,,,6.83,5.25,[],9.80,6.50,,,8.40,
01000030,,,7.75,5.92,,,[],7.60,7.50,,3.75,8.60,6.25
01000031,5.00,9.00,,,6.75,6.25,[],8.80,7.75,,,7.00,
01000032,5.00,5.50,,,5.00,4.50,[],2.20,7.00,,,4.00,
01000033,5.75,7.00,,,6.42,6.50,[],5.60,6.50,,,6.60,
01000034,6.25,8.00,,,7.08,7.00,[],8.40,7.00,,,8.20,
01000035,6.00,8.00,,,6.00,4.00,[],7.40,6.25,,,7.40,
01000036,6.00,8.00,,,6.58,5.75,[],8.60,7.00,,,7.60,
01000037,,,4.75,5.08,,,[],7.20,6.50,,4.50,7.60,6.00
01000038,6.25,7.25,,,7.17,8.00,[],5.60,6.00,,,6.00,
01000039,8.50,8.25,,,7.67,6.25,[],6.60,8.75,,,7.80,
01000040,5.50,7.75,,,7.08,8.00,[],8.80,8.25,,,8.00,
01000041,6.00,7.50,,,6.50,6.00,[],7.20,8.00,,,7.40,
01000042,4.75,7.25,,,6.42,7.25,[],7.20,6.50,,,5.80,
01000043,,,8.00,5.17,,,[],4.80,7.25,,3.00,7.20,4.50
01000044,4.50,,,,,2.00,[],,3.00,,,2.60,
01000045,5.50,7.50,,,6.50,6.50,[],3.40,7.00,,,6.00,
01000046,,,5.50,5.83,,,[],4.60,6.25,,4.75,8.00,7.25
01000047,7.00,7.50,,,7.25,7.25,[],7.60,7.75,,,7.20,
01000048,6.25,9.00,,,7.75,8.00,[],9.40,8.50,,,8.00,
01000049,,,7.75,5.75,,,[],7.40,7.00,,5.75,7.80,3.75
01000050,6.00,7.25,,,6.00,4.75,[],,7.25,,,7.40,
01000051,,,4.00,4.75,,,[],6.40,5.00,,3.25,7.80,7.00
01000052,6.75,8.50,,,7.50,7.25,[],9.00,8.75,,,6.80,
01000053,6.75,8.50,,,7.25,6.50,[],5.20,6.25,,,6.20,
01000054,8.25,9.25,,,8.67,8.50,[],9.00,8.00,,,8.40,
01000055,8.00,7.50,,,7.08,5.75,[],9.40,7.00,,,7.00,
01000056,2.75,3.50,,,3.25,3.50,[],3.20,2.25,,,2.00,
01000057,8.25,8.00,,,8.17,8.25,[],8.00,8.25,,,7.80,
01000058,3.25,6.25,,,4.83,5.00,[],3.40,5.25,,,2.20,
01000059,,,7.75,5.25,,,[],9.60,6.25,,3.50,8.20,4.50
01000060,,,,,,,[],7.20,7.50,,,8.20,
01000061,7.25,8.50,,,8.33,9.25,[],9.00,6.50,,,5.60,
01000062,6.25,,,,,6.25,[],,6.00,,,4.60,
01000063,6.50,9.00,,,7.83,8.00,[],9.20,6.75,,,7.40,
01000064,8.00,8.25,,,8.08,8.00,[],7.60,8.50,,,6.80,
01000065,7.50,9.25,,,8.33,8.25,[],8.60,8.50,,,8.60,
01000066,,,3.50,5.00,,,[],8.80,6.25,,4.50,7.80,7.00
01000067,5.75,,,,,5.00,[],4.60,6.50,,,3.00,
01000068,8.75,9.00,,,8.83,8.75,[],8.00,8.00,,,8.60,
01000069,,,4.75,5.42,,,[],7.40,8.00,,4.50,8.60,7.00
01000070,,,,,,,[],7.60,6.50,,,6.40,
01000071,,,5.00,4.83,,,[],6.60,8.25,,3.25,7.60,6.25
01000072,5.50,5.25,,,5.25,5.00,[],2.60,4.75,,,5.20,
01000073,,,6.75,5.92,,,[],9.80,7.75,,4.25,8.40,6.75
01000074,,,2.50,3.92,,,[],,6.50,,1.75,7.60,7.50
01000075,8.00,9.25,,,8.67,8.75,[],5.20,7.00,,,5.40,
01000077,7.00,8.25,,,7.92,8.50,[],9.40,8.25,,,8.40,
01000079,6.25,7.75,,,7.08,7.25,[],6.00,6.25,,,5.60,
01000080,,,4.75,5.42,,,[],9.40,6.00,,4.00,8.80,7.50
01000081,5.00,7.25,,,5.75,5.00,[],4.00,7.50,,,6.60,
01000082,6.75,8.25,,,7.42,7.25,[],8.00,9.50,,,9.00,
01000083,5.75,6.25,,,5.50,4.50,[],5.00,8.75,,,6.80,
01000084,8.75,8.25,,,8.50,8.50,[],8.80,9.00,,,7.80,
01000085,6.25,7.75,,,6.58,5.75,[],8.20,5.50,,,7.60,
01000086,7.00,7.50,,,7.00,6.50,[],,7.00,,,6.80,
01000087,6.50,8.25,,,7.17,6.75,[],9.40,8.00,,,8.40,
01000088,6.50,8.00,,,7.25,7.25,[],8.00,8.75,,,8.20,
01000089,,,4.00,4.83,,,[],6.00,7.25,,3.00,7.80,7.50
01000090,6.50,7.75,,,6.75,6.00,[],6.60,8.00,,,7.00,
01000091,6.50,9.50,,,7.83,7.50,[],7.80,7.25,,,7.80,
01000092,8.00,8.50,,,7.67,6.50,[],8.00,8.50,,,6.80,
01000093,,,6.75,6.17,,,[],,7.75,,6.00,8.80,5.75
01000095,8.75,9.25,,,8.17,6.50,[],9.00,6.00,,,8.00,
01000096,7.75,9.00,,,7.83,6.75,[],7.80,8.25,,,7.60,
01000097,7.00,8.50,,,7.75,7.75,[],9.60,8.50,,,8.20,
01000098,7.25,8.25,,,8.00,8.50,[],8.00,8.50,,,7.40,
01000099,8.50,8.00,,,7.17,5.00,[],9.20,8.00,,,7.60,
01000100,4.25,7.75,,,5.83,5.50,[],5.60,5.50,,,3.80,
01000101,,,7.25,5.25,,,[],7.60,6.50,,3.25,8.20,5.25
01000102,,,8.00,6.92,,,[],9.00,7.25,,8.00,8.80,4.75
01000103,,,8.75,7.92,,,[],7.00,8.50,,6.50,8.40,8.50
01000104,6.25,8.00,,,7.08,7.00,[],9.00,8.50,,,7.20,
01000105,6.75,8.00,,,7.50,7.75,[],7.00,8.50,,,7.00,
01000106,,,2.25,3.92,,,[],8.60,5.00,,3.75,8.40,5.75
01000107,,,8.00,5.67,,,[],7.40,7.50,,3.75,7.40,5.25
01000108,6.50,8.75,,,7.42,7.00,[],9.00,9.00,,,8.60,
01000109,,,,,,,[],8.00,,,,8.20,6.75
01000110,6.50,,,,,9.50,[],8.00,7.50,,,8.60,
01000111,5.00,7.75,,,6.50,6.75,[],8.80,9.00,,,8.60,
01000112,6.50,8.25,,,7.50,7.75,[],9.60,6.50,,,7.20,
01000113,8.00,9.25,,,8.42,8.00,[],9.40,8.75,,,9.20,
01000114,6.50,,,,,6.00,[],,6.75,,,6.40,
01000115,,,8.00,5.92,,,[],7.60,7.00,,5.25,8.20,4.50
01000116,7.25,9.25,,,8.50,9.00,[],9.00,8.00,,,8.20,
01000117,5.25,7.75,,,6.92,7.75,[],7.80,8.00,,,8.00,
01000118,6.50,8.00,,,6.92,6.25,[],8.60,7.50,,,7.00,
01000119,6.50,8.00,,,7.33,7.50,[],,5.25,,,5.00,
01000120,8.50,8.25,,,8.67,9.25,[],8.40,7.75,,,7.20,
01000121,7.75,9.00,,,8.67,9.25,[],8.80,8.25,,,8.20,
01000122,,,4.25,5.92,,,[],8.40,5.50,,4.75,8.60,8.75
01000123,,,6.00,6.25,,,[],4.20,8.00,,7.25,7.00,5.50
01000124,6.75,8.00,,,7.25,7.00,[],7.40,6.75,,,7.20,
01000125,7.00,6.25,,,6.17,5.25,[],4.80,6.25,,,4.80,
01000126,,,3.50,4.67,,,[],6.40,7.50,,3.75,8.40,6.75
01000127,7.00,8.75,,,7.83,7.75,[],4.00,7.25,,,4.60,
01000128,6.50,,,,,8.75,[],,7.75,,,,
01000129,,,8.00,6.50,,,[],,7.50,,4.75,8.80,6.75
01000130,,,4.75,5.83,,,[],7.20,4.50,,4.00,9.40,8.75
01000131,,,7.00,5.33,,,[],6.20,6.25,,3.00,8.20,6.00
